Kasarian,Edad,Antas na tinapos,Uri ng trabaho,Pangedukasyon,Pangkultura,Pangkabuhayan,Values at Moral,Pagtatanim,Ayudang Pagkain,Pangkalusugan,Pagrerecycle,Dental,Teknolohiya
1,0,0,0,1,1,0,1,0,1,1,1,0,1
1,5,1,1,1,0,1,1,1,1,0,0,1,0
1,1,4,1,1,0,1,1,1,1,1,1,1,1
1,5,2,0,1,0,0,0,1,1,1,1,1,0
1,4,2,1,1,1,1,0,1,1,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,1,1,1
1,4,2,0,1,0,1,0,0,0,0,0,0,0
1,1,2,1,1,0,1,0,0,1,0,0,0,0
0,4,8,1,1,1,0,1,0,0,1,0,1,0
0,0,0,0,1,0,0,1,1,0,1,0,1,1
0,3,6,1,1,0,0,0,0,1,1,0,0,1
0,5,7,0,1,0,0,1,1,0,0,0,1,0
0,0,2,1,1,0,1,1,1,1,1,0,1,0
0,1,6,0,1,1,1,1,1,0,0,1,0,0
0,3,7,0,1,0,1,1,0,1,1,1,0,0
0,3,2,1,1,0,1,0,1,1,0,0,1,0
